Timestamp,PID,Nombre,Dir_Local,Pto_Local,Dir_Remota,Pto_Remota,Estado,Tiempo_Enlace,Memoria
2026-05-20 14:42:24,36531,code,127.0.0.1,55878,-,-,LISTEN,00:03:22,572.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50424,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60360,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60416,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,36380,code,172.31.9.229,38166,20.189.173.14,443,ESTABLISHED,00:03:22,72.8 MB
2026-05-20 14:42:24,24266,openclaw-gateway,172.31.9.229,55088,149.154.166.110,443,ESTABLISHED,00:00:30,426.3 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60260,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10049,brave,172.31.9.229,52120,100.23.253.52,443,ESTABLISHED,00:03:22,136.6 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50532,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53324,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41558,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37582,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37648,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53870,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,54996,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53998,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41578,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53882,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10049,brave,172.31.9.229,48071,157.240.25.60,443,NONE,00:00:10,136.6 MB
2026-05-20 14:42:24,36575,codex,172.31.9.229,41486,172.64.155.209,443,ESTABLISHED,00:02:47,43.5 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,48546,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,24266,openclaw-gateway,::1,18789,-,-,LISTEN,00:03:22,426.3 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53980,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,9085,kdeconnectd,::,1716,-,-,LISTEN,00:03:22,61.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37536,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41532,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50504,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41692,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41546,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41654,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53932,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37692,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41534,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50486,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60424,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53368,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,54980,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41614,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41632,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37526,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50464,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53844,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53974,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
